V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,label
236.7,161.2,465.8,17665.5,3807.0,360.3,676.1,1329.1,5094.5,1507.2,473.4,1642.5,232.4,560.2,1154.1,457.2,400.5,339.1,392.3,9972.1,393.0,1131.9,18.6,198.1,383.1,81.8,17.8,187.3,334.3,960.8,239.9,2598.0,1536.8,20532.4,669.8,416.9,15035.2,288.4,300.1,1638.1,73.3,208.1,555.0,462.5,2192.0,583.0,17750.1,724.9,1741.7,298.4,188.8,814.7,443.0,1799.6,719.0,1296.2,6998.8,2135.3,192.4,6.6,111.4,235.8,874.4,19233.2,203.4,340.2,1511.8,612.0,3396.9,5759.0,226.6,1287.9,2373.3,34.4,84.9,332.2,618.8,214.7,709.7,784.1,2901.0,469.8,632.2,2144.0,697.7,1078.8,170.9,848.8,2924.1,196.8,300.9,346.0,3274.1,417.4,1234.6,924.5,254.1,30.7,43.3,323.3,1
257.7,821.7,212.4,28475.0,1479.5,405.1,260.5,366.7,1633.2,710.7,707.0,132.6,21.2,607.7,242.2,376.2,3205.3,125.0,41.2,15.5,166.0,61.2,66.6,192.6,241.2,9.7,36.6,162.9,222.0,16.0,144.8,430.8,1100.9,150.3,343.1,189.7,13.8,20.7,5.8,610.6,140.1,137.7,679.8,300.4,858.1,2343.1,12937.0,6932.4,1186.2,636.3,629.4,1124.4,677.8,1005.6,291.0,194.1,512.8,533.5,39.8,11.7,4.3,108.3,321.6,12112.0,84.8,215.5,506.5,438.6,891.3,159.2,385.2,781.4,766.6,51.2,232.4,631.8,236.1,147.3,572.2,1577.5,807.8,236.2,344.4,182.7,637.2,217.4,131.9,106.5,139.6,240.3,141.8,154.6,675.3,1048.0,429.5,183.7,413.8,184.8,11.8,127.2,1
1455.4,19580.9,327.7,40150.8,9400.1,1791.8,1798.5,7000.4,37158.1,1009.0,408.4,5148.8,1570.3,3799.2,1816.5,1818.7,7235.5,179.8,7964.0,1145.1,5295.4,300.2,422.2,1023.8,360.7,224.6,12.2,1118.1,1288.5,1912.2,101.9,1999.8,817.4,10289.2,650.2,1048.8,12885.5,374.9,296.3,178.0,1038.5,843.3,1895.1,2488.4,2290.1,44058.3,53269.1,1140.4,3998.1,3947.5,6996.4,7414.2,955.8,2423.8,1297.5,3571.4,12867.0,3635.2,286.9,705.8,537.1,954.2,3751.4,47905.1,316.2,575.6,507.5,2001.4,1933.2,412.9,1217.4,2552.1,15042.6,9391.3,13917.4,522.3,1381.4,508.6,4494.9,2883.4,6282.1,354.5,2559.8,3106.3,1301.2,2227.0,1318.4,276.2,900.4,1580.2,639.4,2077.0,282.5,2394.1,3.7,3217.1,869.0,45.4,659.0,7567.2,1
453.7,3063.4,96.2,36514.0,9272.8,2157.4,985.6,5961.1,28878.7,1340.3,426.6,4449.6,547.0,1894.0,892.5,1051.7,2171.0,581.8,6957.2,12.5,2054.6,524.4,1486.0,101.7,16.2,460.4,40.2,2231.1,192.5,802.5,181.8,1826.6,959.6,143.8,382.3,296.4,84.3,186.6,188.3,220.1,484.0,154.4,1134.2,979.6,1016.2,15187.3,56463.1,249.7,5607.2,4213.3,7370.1,9549.7,749.5,1986.8,2196.9,2435.5,7567.4,1927.6,242.8,536.8,793.5,3188.2,2001.5,52565.1,420.7,891.2,1056.4,1733.6,1362.6,86.8,2009.1,3557.6,11207.6,2995.0,8002.8,371.0,677.5,248.7,1577.5,665.3,3772.4,434.0,2716.7,1487.2,489.7,1084.5,635.8,125.1,845.2,597.4,206.4,879.5,191.4,1709.9,34.6,2793.0,701.8,13.7,665.2,8094.4,1
148.0,111.1,117.5,20335.2,8178.0,244.3,224.8,1064.3,9748.2,1713.8,165.2,2740.7,184.8,1386.1,474.1,2340.4,2318.5,488.3,1242.9,8967.8,1522.7,1901.0,84.3,44.3,345.2,523.2,16.5,6.1,1754.7,2138.8,12.0,1487.1,421.2,21540.5,650.5,874.0,19877.7,247.2,264.4,1358.6,315.4,185.7,323.2,387.7,3983.6,1643.2,27737.8,77.0,9431.7,149.2,924.6,1120.4,403.0,1362.7,2629.3,2905.4,12108.5,4111.2,160.4,98.8,120.6,125.5,681.7,27390.3,107.8,349.8,1194.4,3203.2,3300.6,3790.5,246.1,4183.2,10490.9,9.1,11.9,302.0,705.0,60.7,4541.4,1024.5,9165.8,556.0,788.9,1834.1,992.7,1195.4,1591.7,1098.6,3716.2,81.6,1623.2,323.9,4412.4,210.2,2178.8,3335.1,1026.0,12.6,22.9,1310.7,1
303.7,182.8,221.7,34670.1,189.8,80.0,236.2,377.9,215.1,620.8,611.2,169.8,174.1,2084.6,28.5,310.1,815.7,194.0,120.2,34.7,214.0,94.3,18.5,34.0,394.4,89.5,53.1,21.1,205.8,48.7,180.2,556.4,2144.1,369.5,684.3,249.4,88.4,153.7,14.2,274.3,96.0,436.6,136.8,266.5,564.8,228.8,1583.8,546.9,433.0,239.0,274.3,620.4,527.5,626.8,487.2,129.1,423.4,260.3,395.2,9.1,142.9,209.6,211.9,1742.6,173.0,208.7,1152.9,172.5,426.4,145.8,161.8,285.9,325.0,13.5,29.3,78.8,354.3,52.4,243.4,960.1,3828.9,238.4,174.0,16.0,231.5,181.5,82.0,147.1,909.1,199.3,155.7,236.5,493.5,112.8,39.3,225.3,367.8,214.1,13.7,12.0,1
100.6,143.0,1027.5,23103.3,1553.3,151.5,156.5,295.4,2407.4,1624.9,473.6,1549.7,95.6,792.8,93.0,224.7,204.0,161.0,178.6,371.1,1372.8,326.5,82.5,7.8,2542.4,3.7,21.3,6.2,18.7,482.7,40.5,880.0,1045.3,3017.1,361.0,92.5,5016.6,18.6,22.0,825.5,159.3,63.1,242.2,229.8,2753.9,419.0,6854.0,192.2,1438.7,206.9,203.6,347.5,408.3,1182.8,340.2,1041.8,2312.7,1736.0,12.7,499.2,486.4,81.3,782.2,5144.3,27.0,5.5,2857.9,84.0,852.8,1091.8,269.9,433.1,2082.9,9.7,7.9,466.2,197.8,5.3,142.4,923.2,3633.3,675.2,320.2,215.0,418.5,321.9,66.8,361.9,1538.4,100.9,73.3,120.4,631.4,380.5,1040.0,381.0,322.4,118.9,13.1,185.8,1
261.7,190.0,370.0,20950.4,2436.9,1654.1,1535.5,4359.3,8244.3,1995.4,431.8,3664.9,137.4,1364.0,300.8,546.9,4039.9,332.3,1659.2,1101.4,685.4,245.6,75.7,30.0,135.9,312.3,26.4,162.5,386.6,1499.4,95.6,3438.9,801.2,8435.9,814.6,371.8,2997.5,286.7,261.2,613.8,281.6,1219.9,3606.2,877.6,2898.0,634.8,25378.2,188.3,3556.7,2422.6,3682.6,4491.5,850.7,1514.2,547.3,1689.7,5109.2,5423.1,595.7,1580.5,2461.1,285.1,921.8,28642.3,134.6,144.6,760.7,604.9,2623.8,689.9,282.3,1346.8,3989.6,11.6,204.6,1174.7,576.3,120.4,2896.2,835.6,6149.9,897.1,1367.2,337.8,663.2,242.7,1009.0,103.9,2057.6,216.1,220.9,257.8,914.1,5385.0,65.9,962.4,850.8,111.2,1027.5,2924.0,1
201.0,834.7,876.1,22246.3,2786.2,691.8,558.5,2484.7,12423.3,715.6,505.4,1695.7,476.3,1032.3,418.4,946.6,715.9,464.2,227.5,1300.5,783.9,560.3,450.0,300.4,250.3,361.2,42.6,3.6,317.8,930.4,77.9,2552.8,1707.2,7327.0,271.3,340.0,6186.2,1004.6,1322.4,2327.1,195.7,719.9,634.2,727.7,1793.5,2897.3,22502.5,113.6,3187.1,543.9,813.2,862.1,698.5,992.7,862.3,1210.7,9138.6,1675.2,475.5,606.3,589.3,297.6,866.5,20969.6,194.1,327.1,1454.8,1091.0,1087.9,2064.5,558.8,1618.1,3391.3,569.9,1337.4,555.6,632.3,279.8,2185.5,787.7,4774.0,889.3,841.4,353.1,290.8,447.2,1843.0,2377.7,5458.2,281.5,223.6,237.3,1622.5,592.3,2954.0,868.3,330.2,21.2,81.8,658.0,1
430.9,980.3,147.8,17283.8,597.9,529.5,393.9,829.4,1771.6,839.3,421.7,279.4,359.6,1024.7,413.9,407.9,401.6,53.7,428.2,361.6,723.9,856.5,409.6,447.3,1610.9,93.7,34.8,82.7,189.5,165.6,250.5,851.8,971.8,862.0,726.2,192.1,2834.6,49.7,9.1,2926.7,389.3,326.9,436.9,417.5,1351.2,6081.0,17763.1,247.2,379.6,868.6,1102.5,2868.9,249.9,742.0,614.5,359.6,1245.8,1225.9,265.5,30.7,129.1,291.0,737.8,16929.7,430.6,318.4,3461.4,276.2,656.7,472.9,378.2,1006.1,975.2,28.4,380.4,438.4,1355.7,379.2,757.4,3227.7,1752.6,665.5,792.2,264.6,375.6,228.2,576.6,176.5,873.0,428.3,33.6,341.0,606.7,624.3,946.5,259.3,411.1,139.3,97.0,443.2,1
