EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,MARR,AGE,RACE,OCCUPATION,SECTOR,label
8.0,0,0,21.0,1,0,35.0,0,2,1,5.1
9.0,0,0,42.0,1,0,57.0,2,2,1,4.95
12.0,0,1,1.0,1,1,19.0,2,2,1,6.67
12.0,0,1,4.0,1,1,22.0,2,2,2,4.0
12.0,0,1,17.0,1,0,35.0,2,2,2,7.5
13.0,0,1,9.0,0,1,28.0,2,2,2,13.07
10.0,1,1,27.0,1,1,43.0,2,2,2,4.45
12.0,0,1,9.0,1,1,27.0,2,2,2,19.47
16.0,0,1,11.0,1,0,33.0,2,2,1,13.28
12.0,0,1,9.0,1,1,27.0,2,2,2,8.75
12.0,0,1,17.0,0,0,35.0,2,2,2,11.35
12.0,0,1,19.0,0,1,37.0,2,2,1,11.5
8.0,1,1,27.0,1,0,41.0,2,2,2,6.5
9.0,1,1,30.0,0,1,45.0,2,2,2,6.25
9.0,1,1,29.0,1,0,44.0,2,2,2,19.98
12.0,0,1,37.0,1,0,55.0,2,2,0,7.3
7.0,1,1,44.0,1,0,57.0,2,2,2,8.0
12.0,0,1,26.0,0,0,44.0,2,2,1,22.2
11.0,0,1,16.0,1,1,33.0,2,2,2,3.65
12.0,0,1,33.0,1,0,51.0,2,2,2,20.55
12.0,0,0,16.0,0,0,34.0,2,2,1,5.71
7.0,0,1,42.0,0,0,55.0,1,2,1,7.0
12.0,0,1,9.0,1,1,27.0,2,2,2,3.75
11.0,1,1,14.0,1,0,31.0,1,2,2,4.5
12.0,0,1,23.0,1,0,41.0,2,2,2,9.56
6.0,1,1,45.0,1,0,57.0,2,2,1,5.75
12.0,0,1,8.0,1,0,26.0,2,2,1,9.36
10.0,0,1,30.0,1,0,46.0,2,2,2,6.5
12.0,0,0,8.0,1,0,26.0,2,2,1,3.35
12.0,0,1,8.0,1,0,26.0,2,2,2,4.75
14.0,0,1,13.0,1,1,33.0,2,2,2,8.9
12.0,1,0,46.0,1,1,64.0,2,2,2,4.0
8.0,0,1,19.0,1,0,33.0,2,2,2,4.7
17.0,1,0,1.0,1,1,24.0,2,2,2,5.0
12.0,0,1,19.0,1,1,37.0,2,2,1,9.25
12.0,0,1,36.0,1,1,54.0,1,2,2,10.67
12.0,1,1,20.0,1,0,38.0,1,2,0,7.61
12.0,0,1,35.0,0,0,53.0,1,2,0,10.0
12.0,0,1,3.0,1,1,21.0,2,2,2,7.5
14.0,1,1,10.0,1,0,30.0,2,2,1,12.2
12.0,0,1,0.0,1,1,18.0,2,2,2,3.35
14.0,1,1,14.0,0,0,34.0,2,2,1,11.0
12.0,0,1,14.0,1,0,32.0,2,2,1,12.0
9.0,0,0,16.0,1,0,31.0,2,2,1,4.85
13.0,1,1,8.0,1,1,27.0,2,2,0,4.3
7.0,1,0,15.0,1,0,28.0,2,2,1,6.0
16.0,0,1,12.0,1,0,34.0,2,2,1,15.0
10.0,1,1,13.0,1,1,29.0,2,2,2,4.85
8.0,0,1,33.0,0,0,47.0,2,2,2,9.0
12.0,0,1,9.0,1,0,27.0,2,2,1,6.36
12.0,0,1,7.0,1,0,25.0,2,2,2,9.15
16.0,0,1,13.0,0,0,35.0,2,2,1,11.0
12.0,0,0,7.0,1,0,25.0,2,2,1,4.5
12.0,0,0,16.0,1,0,34.0,2,2,1,4.8
13.0,0,1,0.0,1,1,19.0,2,2,2,4.0
12.0,0,0,11.0,1,1,29.0,2,2,1,5.5
13.0,0,1,17.0,1,1,36.0,2,2,1,8.4
10.0,0,1,13.0,1,0,29.0,2,2,1,6.75
12.0,0,1,22.0,0,1,40.0,1,2,1,10.0
12.0,0,0,28.0,1,0,46.0,2,2,1,5.0
11.0,0,1,17.0,1,1,34.0,2,2,2,6.5
12.0,0,1,24.0,0,0,42.0,2,2,0,10.75
3.0,1,1,55.0,1,0,64.0,0,2,1,7.0
12.0,1,1,3.0,1,1,21.0,2,2,0,11.43
12.0,0,1,6.0,0,1,24.0,1,2,1,4.0
10.0,0,1,27.0,1,0,43.0,2,2,0,9.0
12.0,1,1,19.0,0,0,37.0,1,2,1,13.0
12.0,0,1,19.0,0,0,37.0,2,2,0,12.22
12.0,0,0,38.0,1,0,56.0,2,2,1,6.28
10.0,1,1,41.0,0,0,57.0,1,2,1,6.75
11.0,1,1,3.0,1,1,20.0,1,2,1,3.35
14.0,0,1,20.0,0,0,40.0,2,2,2,16.0
10.0,0,1,15.0,1,0,31.0,2,2,2,5.25
8.0,1,1,8.0,1,0,22.0,0,2,1,3.5
8.0,1,0,39.0,1,0,53.0,2,2,1,4.22
6.0,0,0,43.0,0,0,55.0,0,2,1,3.0
11.0,1,0,25.0,0,0,42.0,2,2,1,4.0
12.0,0,1,11.0,0,0,29.0,2,2,2,10.0
12.0,0,1,12.0,1,0,30.0,1,2,2,5.0
12.0,1,1,35.0,0,0,53.0,2,2,1,16.0
14.0,0,1,14.0,1,1,34.0,2,2,2,13.98
12.0,0,1,16.0,0,0,34.0,2,2,2,13.26
10.0,0,0,44.0,0,1,60.0,2,2,1,6.1
16.0,1,0,13.0,1,1,35.0,2,2,2,3.75
13.0,0,1,8.0,0,1,27.0,1,2,1,9.0
12.0,0,1,13.0,1,1,31.0,2,2,1,9.45
11.0,0,1,18.0,0,0,35.0,2,2,2,5.5
12.0,0,0,18.0,1,0,36.0,2,2,2,8.93
12.0,1,0,6.0,1,1,24.0,2,2,2,6.25
11.0,1,1,37.0,0,0,54.0,2,2,1,9.75
12.0,1,1,2.0,1,0,20.0,2,2,1,6.73
12.0,0,1,23.0,1,0,41.0,2,2,1,7.78
12.0,0,1,1.0,1,1,19.0,2,2,2,2.85
12.0,1,0,10.0,1,0,28.0,1,2,1,3.35
12.0,0,1,23.0,1,0,41.0,2,2,1,19.98
12.0,0,1,8.0,0,0,26.0,1,2,2,8.5
15.0,0,0,9.0,1,0,30.0,2,2,1,9.75
12.0,0,1,33.0,0,0,51.0,2,2,0,15.0
