V0_tanh,V1_tanh,V6_tanh,V7_tanh,V16_tanh,V17_tanh,V38_tanh,V2_power3,V3_power3,V10_power3,V11_power3,V20_power3,V21_power3,V30_power3,V31_power3,V4_sqrt,V5_sqrt,V12_sqrt,V13_sqrt,V22_sqrt,V23_sqrt,V32_sqrt,V33_sqrt,V8,V9,V18,V19,V26,V27,V34,V36,V37,V14,V15,V24,V25,V40,V41,V42,V43,V28_log,V29_log,V35_log,V39_log,label
1.0,1.0,1.0,1.0,1.0,1.0,1.0,343000.0,300763.0,373248.0,357911.0,314432.0,287496.0,438976.0,405224.0,8.54400374531753,8.12403840463596,8.366600265340756,8.774964387392123,8.48528137423857,8.602325267042627,8.06225774829855,8.18535277187245,58.0,52.0,61.0,57.0,56.0,54.0,66.0,62.0,56.0,66.0,65.0,63.0,64.0,74.0,74.0,64.0,67.0,4.204692619390966,3.9889840465642745,4.02535169073515,4.127134385045092,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,328509.0,300763.0,343000.0,343000.0,389017.0,474552.0,373248.0,343000.0,8.831760866327848,9.055385138137417,8.48528137423857,8.602325267042627,8.602325267042627,8.888194417315589,7.874007874011811,8.06225774829855,69.0,63.0,66.0,65.0,69.0,70.0,65.0,63.0,60.0,70.0,71.0,74.0,69.0,67.0,71.0,56.0,58.0,4.2626798770413155,4.23410650459726,4.2626798770413155,4.290459441148391,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,343000.0,262144.0,373248.0,357911.0,512000.0,405224.0,373248.0,314432.0,8.18535277187245,8.0,8.246211251235321,8.06225774829855,7.3484692283495345,6.855654600401044,7.745966692414834,7.745966692414834,70.0,69.0,75.0,74.0,77.0,68.0,73.0,66.0,65.0,61.0,61.0,53.0,37.0,61.0,41.0,51.0,46.0,4.276666119016055,4.07753744390572,4.248495242049359,4.007333185232471,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,343000.0,474552.0,287496.0,328509.0,300763.0,287496.0,328509.0,438976.0,7.810249675906654,7.937253933193772,8.426149773176359,8.660254037844387,8.602325267042627,8.602325267042627,7.874007874011811,8.0,59.0,59.0,62.0,59.0,57.0,54.0,61.0,66.0,65.0,65.0,58.0,64.0,60.0,68.0,68.0,59.0,63.0,4.248495242049359,4.290459441148391,4.110873864173311,4.290459441148391,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,226981.0,287496.0,238328.0,357911.0,571787.0,456533.0,421875.0,389017.0,7.810249675906654,7.615773105863909,8.426149773176359,8.426149773176359,8.54400374531753,8.366600265340756,8.06225774829855,8.12403840463596,72.0,68.0,70.0,69.0,39.0,40.0,67.0,70.0,66.0,63.0,59.0,41.0,37.0,60.0,55.0,49.0,41.0,4.060443010546419,3.828641396489095,4.23410650459726,4.1588830833596715,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,314432.0,421875.0,373248.0,405224.0,493039.0,343000.0,421875.0,405224.0,8.306623862918075,8.602325267042627,8.54400374531753,8.306623862918075,8.774964387392123,8.426149773176359,7.937253933193772,8.0,57.0,61.0,71.0,62.0,69.0,55.0,63.0,69.0,67.0,61.0,58.0,65.0,63.0,72.0,70.0,61.0,65.0,4.110873864173311,4.219507705176107,4.060443010546419,4.343805421853684,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238328.0,421875.0,287496.0,328509.0,373248.0,300763.0,438976.0,389017.0,8.18535277187245,8.426149773176359,8.426149773176359,8.94427190999916,8.426149773176359,8.306623862918075,7.937253933193772,8.0,69.0,70.0,65.0,61.0,69.0,65.0,69.0,72.0,72.0,66.0,64.0,65.0,57.0,70.0,73.0,63.0,59.0,4.219507705176107,4.174387269895637,4.248495242049359,4.219507705176107,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,216000.0,238328.0,438976.0,343000.0,328509.0,238328.0,373248.0,274625.0,8.0,8.48528137423857,8.602325267042627,8.426149773176359,8.06225774829855,7.745966692414834,7.416198487095663,7.483314773547883,74.0,68.0,75.0,66.0,68.0,59.0,66.0,66.0,60.0,76.0,74.0,66.0,65.0,60.0,67.0,49.0,52.0,4.1588830833596715,4.07753744390572,4.189654742026425,4.060443010546419,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,300763.0,314432.0,389017.0,373248.0,512000.0,438976.0,405224.0,389017.0,8.06225774829855,8.18535277187245,8.246211251235321,8.306623862918075,8.94427190999916,8.831760866327848,7.745966692414834,7.745966692414834,64.0,56.0,74.0,66.0,48.0,36.0,67.0,74.0,63.0,56.0,57.0,53.0,47.0,68.0,70.0,59.0,56.0,4.219507705176107,4.174387269895637,4.143134726391533,4.3694478524670215,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,373248.0,493039.0,474552.0,405224.0,493039.0,343000.0,405224.0,389017.0,8.12403840463596,7.810249675906654,7.874007874011811,7.54983443527075,7.810249675906654,7.54983443527075,7.615773105863909,7.745966692414834,65.0,64.0,67.0,63.0,69.0,49.0,64.0,73.0,69.0,48.0,36.0,52.0,36.0,60.0,56.0,53.0,46.0,4.007333185232471,4.174387269895637,4.127134385045092,4.204692619390966,1
