2024-03-24 13:53:55,374 AutoFE.py:30 __init__ INFO | Namespace(cuda='0', epochs=300, ppo_epochs=20, episodes=10, file_name='lymphography', mode='classify', model='rf', metric='f1', seed=1, train_size=0.7, cv=5, shuffle=False, d_model=128, d_k=32, d_v=32, d_ff=64, n_heads=6, worker=1, steps_num=5, lr=0.0001, entropy_weight=0.0001, baseline_weight=0.95, gama=0.9, gae_lambda=0.95, batch_size=4, c_columns=['V0', 'V1', 'V2', 'V3', 'V4', 'V5', 'V6', 'V7', 'V8', 'V9', 'V10', 'V11', 'V12', 'V13', 'V14', 'V15', 'V16', 'V17'], d_columns=[], target='label')
2024-03-24 13:53:55,374 AutoFE.py:31 __init__ INFO | File name: lymphography
2024-03-24 13:53:55,374 AutoFE.py:32 __init__ INFO | Data shape: (148, 19)
2024-03-24 13:53:56,895 AutoFE.py:85 set_cuda INFO | Use device: 0, cuda:0, NVIDIA GeForce RTX 4060 Laptop GPU
2024-03-24 13:53:56,896 AutoFE.py:75 __init__ INFO | Done AutoFE initialization.
2024-03-24 13:53:56,954 AutoFE.py:98 fit_attention INFO | score_b=0.8041379310344826, scores_b=[0.76666667 0.86666667 0.76666667 0.75862069 0.86206897]
2024-03-24 13:54:00,304 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:00,351 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:00,398 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:00,448 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:00,501 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:00,558 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:00,603 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:00,648 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:00,699 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:00,749 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:00,804 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:00,847 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:00,898 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:00,953 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:01,013 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:01,077 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:01,158 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:01,204 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:01,255 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:01,309 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:01,365 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:01,410 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:01,457 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:01,511 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:01,564 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:01,624 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:01,669 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:01,717 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:01,771 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:01,826 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:01,881 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:01,924 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:01,973 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:02,021 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:02,073 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:02,126 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:02,171 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:02,218 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:02,267 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:02,318 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:02,377 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:02,421 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:02,466 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:02,515 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:02,567 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:02,626 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 72) 
2024-03-24 13:54:02,669 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 108) 
2024-03-24 13:54:02,715 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 144) 
2024-03-24 13:54:02,764 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 180) 
2024-03-24 13:54:02,816 training_ops.py:119 multiprocess_reward INFO | x.shape(148, 216) 
2024-03-24 13:54:02,873 AutoFE.py:153 fit_attention INFO | worker1 ,results:[0.4779, 0.526, 0.6807, 0.6228, 0.5614],cv:[ 0.         -0.06666667 -0.06666667  0.         -0.06896552],
2024-03-24 13:54:02,881 AutoFE.py:153 fit_attention INFO | worker2 ,results:[0.7244, 0.5855, 0.6085, 0.3678, 0.5591],cv:[ 0.13333333 -0.03333333 -0.06666667  0.06896552 -0.13793103],
2024-03-24 13:54:02,883 AutoFE.py:153 fit_attention INFO | worker3 ,results:[0.6354, 0.6844, 0.5605, 0.6954, 0.5182],cv:[-0.03333333 -0.06666667  0.06666667  0.13793103 -0.17241379],
