V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,Y1,Y2,Y3,Y4,Y5,Y6,Y7
4,0,648.0,16.0,1,2,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,1,0,1,1,1,0
2,0,29.0,3.0,6,6,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,1,0,0,1,0,1,0
3,0,2388.0,20.0,8,2,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,1,1,0,0,1,0,0
5,2,0.0,0.0,0,1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0,1,1,1,0,1
2,0,0.0,0.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,1,0,0,0
3,1,1247.0,7.0,1,5,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,1,0,1,0
0,3,0.0,0.0,0,1,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,1,0,1
0,3,0.0,0.0,0,1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,1,1,1,0
1,2,2777.0,28.0,2,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0
1,2,2777.0,28.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1,1,0,0
5,1,7690.0,15.0,0,1,0.0,0.0,3.0,0.0,1.0,1.0,1.0,6.0,0,0,0,0,0,1,0,1,0,1,0,0
2,0,84.0,8.0,4,0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
0,3,19.0,0.0,0,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,1,0
4,0,1.0,0.0,8,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0
4,0,143.0,90.0,6,2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0
0,3,0.0,0.0,0,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,1,0,1,0
2,0,31.0,10.0,6,0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,1,0
0,3,23.0,0.0,0,1,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,1,1,1,1
3,0,113.0,3.0,3,5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,1,0,0,0,0,0
0,3,0.0,0.0,0,1,0.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0,0,1,1,0,1,1,1,1,1,1,0
4,0,47.0,1.0,1,3,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,1,1
1,2,1099.0,6.0,2,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0,0
3,1,600.0,1.0,1,5,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,1,0
1,2,8512.0,119.0,6,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,22.0,0,0,0,0,1,0,1,1,1,1,0,0
0,3,0.0,0.0,0,1,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0,0,1,1,1,1,1,1,1,1,0,1
