V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,y1,y2,y3,y4
0.752202578,0.543406553,0.551693496,0.159205035,0.33829705,0.308925351,0.282459944,0.127999127,0.177087069,0.180608731,0.181693477,0.110801852,0.08644299,0.105038636,0.107939673,0.087876694,0.040662114,0.052017283,0.066665654,0.054104958,0.893082433,1.30966576,1.128713843,1.068771785,0.915725672,0.719907535,0.699213671,0.570912763,0.532456662,0.579318582,0.569329441,0.522880342,0.491309521,0.467816753,0.439334741,0.365705797,0.327083409,0.318716521,0.343726887,0.343174371,0.642707469,0.842325314,1.191323079,1.400099195,1.551126352,1.40829101,1.308085283,1.206140226,1.204753036,1.21793094,1.242533878,1.136096134,1.101801353,1.153519023,1.106202742,0.99512173,0.933946849,0.880603557,0.828085883,0.751504501,0.523063765,0.603140263,0.711339025,0.826544141,1.092967837,1.061313938,1.22631263,1.598074154,1.138014837,1.280024157,1.53559962,1.165184537,1.161414906,1.012826898,0.957081304,1.130183483,1.246617032,1.206104526,1.192414709,1.188457176,-1,1,1,1,-1
0.850272032,0.631119654,0.68566424,0.230291022,0.470805712,0.427433206,0.327362252,0.179296802,0.194266984,0.237877618,0.183142781,0.142369066,0.100196247,0.106578879,0.103723768,0.085627945,0.037389718,0.039857338,0.058626528,0.047829489,0.92786046,1.34983955,1.068714157,0.993652078,0.854145078,0.742888588,0.675095113,0.562752516,0.57239974,0.571096033,0.576276588,0.516894053,0.492469222,0.45237946,0.447332622,0.400378804,0.368344418,0.370624912,0.386356805,0.384303208,0.594922975,0.688675602,0.90422316,1.101330088,1.110365607,1.030634833,0.99321741,1.036122524,0.905031546,0.90754722,0.915711308,0.909350119,0.886034159,0.840814856,0.803633534,0.7337976,0.668893805,0.569649317,0.580792291,0.57668454,0.593489283,0.614894402,0.725322,0.816408847,0.915305025,1.109180242,1.43984653,1.464713035,1.383660774,1.258629409,1.369696633,1.452376451,1.334523569,1.200584537,1.060274767,1.136135068,1.248541911,1.22338457,1.28138504,1.165168974,-1,1,1,1,-1
0.654608161,0.497705186,0.507756226,0.146469846,0.29003632,0.290013207,0.243397043,0.119868019,0.145695964,0.171591548,0.159673319,0.098688602,0.080987586,0.085530104,0.092236981,0.070380677,0.043594906,0.043169849,0.053017338,0.049901707,0.95029339,1.387693971,1.061776132,0.944879669,0.828874011,0.651019023,0.572586546,0.491468502,0.520418494,0.483826346,0.448159995,0.387002543,0.371880455,0.37230998,0.345647196,0.321650181,0.315515149,0.283296151,0.298161028,0.311871916,0.647257439,0.931249209,1.280143816,1.421240302,1.296394166,1.280786805,1.170010758,1.213198489,1.142655433,1.107871808,1.11178401,1.088949066,1.013175727,1.011600912,0.959941943,0.929714594,0.930146792,0.888511308,0.846252258,0.87524649,0.508553169,0.587091969,0.64054552,0.725308122,0.858906609,1.029548972,1.240201878,1.223758926,1.075661591,1.144513301,0.995900531,1.001732677,0.954224877,0.88079946,0.882726489,0.862477695,0.852155862,0.832977861,0.775428865,0.843182636,-1,1,1,1,-1
0.807578138,0.650912283,0.701725951,0.282907275,0.48633522,0.450616432,0.36796729,0.212423455,0.195599669,0.247997075,0.235481515,0.157367209,0.088556529,0.122317714,0.132798999,0.097456071,0.055639284,0.058604592,0.072120728,0.059979873,0.879102,1.247245225,1.002964002,0.878111326,0.753584876,0.602483816,0.520624408,0.466866382,0.472266428,0.489689707,0.475393473,0.408850987,0.402869685,0.37684877,0.347935921,0.328772848,0.314073382,0.284179552,0.280084333,0.298402037,0.611929981,0.720403935,0.875218748,1.210110552,1.226470946,1.1411231,1.185819293,1.035160163,1.055674461,1.025427802,1.047560497,1.015432136,0.960797785,1.010509071,0.961473095,0.898463512,0.822300502,0.750037729,0.680327637,0.644618664,0.520395371,0.598341314,0.667971965,0.773081856,1.003239487,1.106648226,1.35606883,1.279814664,1.738872138,1.538143951,1.500336078,1.495349343,1.326986889,1.332559097,1.259636622,1.323940957,1.339277901,1.291640337,1.194475435,1.16967156,-1,1,1,1,-1
0.672321748,0.51342686,0.52981962,0.138579841,0.306897725,0.285824195,0.225128345,0.115344624,0.142937888,0.153219366,0.147027184,0.098857219,0.091830612,0.073910368,0.089774976,0.069461059,0.044290888,0.038776851,0.053004693,0.04428653,0.866000426,1.198248364,0.916741175,0.826821997,0.749122335,0.60481301,0.502397166,0.41766461,0.395000238,0.423934583,0.421880306,0.420619501,0.374279146,0.369382436,0.330170043,0.299158307,0.267324252,0.28085178,0.300043041,0.307199937,0.596338055,0.766406014,0.918576594,0.907901079,0.811031229,0.799816766,0.810092457,0.876213781,0.846378391,0.866126388,0.855675027,0.813880577,0.848500175,0.8553824,0.899084283,0.876042719,0.826770684,0.775619194,0.670481525,0.656547313,0.554458264,0.64581831,0.732639998,0.879592979,1.110159761,1.252286762,1.330856246,1.580577368,1.501428389,1.358485512,1.381707197,1.218764346,1.172378439,1.18191136,1.159609715,1.230452437,1.257270902,1.133177648,1.181773779,1.007989518,-1,1,1,1,-1
0.797304405,0.553479015,0.616856269,0.205379178,0.421269736,0.365191913,0.303818513,0.157146371,0.180025812,0.190700909,0.190431612,0.132521424,0.091396016,0.090436192,0.112210555,0.088761776,0.041436798,0.048587787,0.073680256,0.05665772,0.871525188,1.265741953,1.029207932,0.964683256,0.79305455,0.686280072,0.598460264,0.530434048,0.537691476,0.542736222,0.493175912,0.453860802,0.426951018,0.364583366,0.342012469,0.319092936,0.277613196,0.275377044,0.278783119,0.279057284,0.617193188,0.785966039,1.040874283,1.217872547,1.202632272,1.27196267,1.254829146,1.311723142,1.178232253,1.086323742,1.211182069,1.159874586,1.205358099,1.208680857,1.135859574,1.088150655,0.990363182,0.849191832,0.82308681,0.817723641,0.575295013,0.638717006,0.739122946,0.869379713,1.136057338,1.309534932,1.373720174,1.658103084,1.712780264,1.547590136,1.425319511,1.316998671,1.43358887,1.280805236,1.150157966,1.229175188,0.984876741,1.027932658,1.217704592,1.264246927,-1,1,1,1,-1
0.731477861,0.576934725,0.575606237,0.187337627,0.371456245,0.364078457,0.310140649,0.165773432,0.180819009,0.216275056,0.200562026,0.137515849,0.092475282,0.123510481,0.120726401,0.093157535,0.042901797,0.055069483,0.068913285,0.054760191,0.903818773,1.28447092,1.025210564,0.918766712,0.822098051,0.689014992,0.673208744,0.558806312,0.556382083,0.570385536,0.538774719,0.497560753,0.445327169,0.405647008,0.4050375,0.365225091,0.309432622,0.304737723,0.307159357,0.32450225,0.571822868,0.662944703,0.86076523,1.003726855,0.984974565,0.926454563,0.91022482,0.929831268,0.901842596,0.848559758,0.794891856,0.770998493,0.779283329,0.769481323,0.805229873,0.769128584,0.686591005,0.645111993,0.545929369,0.523179765,0.54104957,0.60765174,0.66100112,0.727682306,0.86345779,1.092786432,1.153466329,1.131144562,0.984449923,0.85131006,0.895647236,0.905495243,0.998484424,0.87290338,0.908943389,0.913077555,0.922052095,0.890184991,0.866246786,0.833801434,-1,1,1,1,-1
0.68178913,0.522046363,0.529805498,0.168335065,0.369908448,0.3635932,0.301399996,0.156643185,0.184910239,0.201816936,0.189572228,0.137602511,0.088177711,0.100242698,0.107992766,0.092802739,0.03908763,0.051159166,0.066004285,0.057845378,0.924953677,1.269183078,1.042640682,0.928883163,0.884313709,0.77298865,0.655408004,0.4917012,0.504805876,0.540787443,0.549203603,0.510614719,0.46951717,0.465377381,0.4350152,0.39538328,0.361448879,0.354895159,0.359093203,0.369262059,0.583732018,0.718286937,0.978824375,1.02775694,0.956552509,0.910386309,0.990794349,0.989459217,0.94852652,0.963514305,0.982940017,1.009267188,1.006633066,0.996819617,0.986610566,0.997478899,0.885434324,0.861910694,0.74710054,0.638278494,0.557427397,0.668539341,0.795704911,1.087496738,1.172054622,1.391367795,1.558044405,1.695738188,1.875971586,1.48259415,1.470584648,1.500208095,1.440358571,1.41451977,1.333284218,1.308363462,1.276555721,1.357586471,1.434430747,1.356355689,-1,1,1,1,-1
0.639740904,0.512971104,0.523009001,0.165475117,0.328966401,0.32937287,0.260315317,0.148100748,0.173999224,0.193713206,0.178638819,0.122593187,0.095799801,0.104313311,0.123724836,0.102902283,0.046939697,0.064959048,0.084871757,0.058849336,0.847310548,1.216279439,0.971536744,0.87461166,0.77744659,0.640860349,0.560989343,0.487798669,0.470192368,0.456193513,0.479187744,0.427444015,0.407914844,0.355604442,0.333183075,0.306453776,0.294249605,0.277038565,0.273506305,0.260887586,0.606253951,0.809168804,1.103936029,1.293545681,1.230490606,1.289243058,1.170017257,1.090008395,1.078660668,1.09381681,1.070882108,1.077638113,1.060613711,1.032928065,0.965699256,0.892544585,0.838770359,0.747943193,0.725093283,0.747753833,0.573810235,0.668157161,0.805721613,0.994774244,1.222897532,1.361924708,1.502610805,1.436722092,1.582793352,1.408036923,1.261636182,1.213534187,1.373719825,1.245695801,1.158384163,1.227384945,1.289641279,1.329659396,1.275214076,1.19218123,-1,1,1,1,-1
0.637102088,0.480821417,0.526066667,0.190490537,0.343936384,0.338055956,0.277338422,0.156854188,0.174498485,0.189100982,0.18364913,0.128700569,0.084483911,0.092871039,0.110169621,0.091707791,0.043039706,0.051927627,0.066238223,0.058925475,0.888375533,1.29155043,0.976488761,0.889080529,0.760007557,0.592533161,0.535606135,0.473491634,0.472469851,0.490932594,0.477521044,0.436887245,0.39887176,0.375650528,0.330636911,0.31756686,0.301863218,0.305273241,0.29839469,0.285219685,0.586366342,0.759480397,1.005196412,1.041000461,1.033873699,0.998719923,0.987296789,0.95819341,0.979061481,0.980431566,0.961376056,0.98750336,0.963665119,1.032550006,1.003891185,0.985738024,0.924464293,0.89259133,0.785144546,0.778809333,0.502810379,0.569928566,0.634879473,0.815634942,1.015713432,1.174814654,1.156983744,1.15350801,1.185670168,1.062792083,1.065960922,1.054183668,1.047293678,0.98796519,1.000475692,1.043255712,1.054479736,1.040450908,1.071449389,1.014519462,-1,1,1,1,-1
