V1,D1,V2,V3,D2,D3,D4,V4,D5,D6,V5,D7,D8,V6,label
0.0,71,7.0,2.0,7,3,4,0.0,0,0,0.0,1,52,1.0,0.0
0.0,141,1.75,1.0,3,3,30,0.0,0,0,1.0,1,97,1.0,0.0
0.0,59,11.5,1.0,4,2,0,1.0,1,11,1.0,1,0,1.0,1.0
1.0,43,8.17,2.0,5,3,45,1.0,1,14,0.0,1,17,159.0,1.0
0.0,3,0.585,2.0,7,6,36,1.0,1,2,0.0,1,31,1.0,1.0
1.0,15,6.5,2.0,2,3,3,0.0,0,0,0.0,1,17,101.0,0.0
0.0,329,4.46,2.0,10,6,65,1.0,1,6,0.0,1,11,561.0,1.0
1.0,125,1.0,1.0,1,6,64,0.0,0,0,0.0,1,60,538.0,0.0
0.0,314,7.08,2.0,3,6,99,1.0,1,3,1.0,1,31,51.0,0.0
1.0,182,1.75,2.0,13,6,80,1.0,1,4,1.0,1,88,858.0,1.0
1.0,247,5.0,2.0,10,6,84,1.0,1,6,1.0,1,147,1.0,1.0
1.0,48,1.25,1.0,7,6,33,1.0,1,3,1.0,1,44,211.0,0.0
1.0,197,5.0,2.0,13,6,103,1.0,1,6,1.0,1,0,1001.0,1.0
1.0,328,2.71,2.0,7,3,55,0.0,0,0,1.0,1,106,1.0,0.0
1.0,283,6.04,2.0,3,3,1,0.0,0,0,0.0,1,0,2691.0,1.0
1.0,141,4.5,2.0,8,3,103,1.0,1,2,1.0,1,108,1.0,1.0
0.0,32,9.0,2.0,5,3,19,1.0,1,2,0.0,1,25,592.0,1.0
1.0,41,1.25,1.0,3,3,3,0.0,0,0,0.0,1,44,5.0,0.0
0.0,68,5.665,2.0,10,3,59,1.0,1,7,0.0,1,40,3258.0,1.0
0.0,128,0.585,2.0,5,3,1,0.0,0,0,0.0,1,91,1005.0,0.0
0.0,34,0.585,1.0,5,3,15,1.0,0,0,1.0,1,52,1.0,0.0
1.0,245,1.335,2.0,1,3,4,0.0,0,0,0.0,1,56,1.0,0.0
1.0,249,1.75,2.0,3,3,5,1.0,0,0,0.0,1,52,1.0,0.0
1.0,37,9.585,2.0,5,3,20,0.0,0,0,0.0,1,23,351.0,0.0
1.0,175,1.5,2.0,12,6,92,1.0,1,3,1.0,1,0,1.0,1.0
1.0,69,0.125,1.0,3,3,3,0.0,0,0,0.0,1,68,71.0,0.0
1.0,180,3.04,1.0,7,6,47,1.0,1,1,1.0,1,62,18028.0,1.0
0.0,154,12.0,2.0,7,3,46,1.0,1,1,0.0,1,76,20.0,1.0
1.0,76,2.5,2.0,7,3,27,1.0,1,11,1.0,1,17,2185.0,1.0
1.0,117,0.75,2.0,7,6,77,1.0,1,3,1.0,1,105,151.0,1.0
0.0,46,10.5,1.0,13,6,0,0.0,0,0,1.0,1,50,33.0,0.0
1.0,304,1.375,1.0,7,6,113,1.0,0,0,1.0,1,68,101.0,0.0
1.0,76,11.5,2.0,8,6,49,1.0,1,11,1.0,1,99,285.0,1.0
1.0,258,1.25,2.0,6,3,122,0.0,1,1,1.0,1,114,113.0,0.0
1.0,347,19.0,1.0,0,0,1,0.0,1,2,0.0,1,0,352.0,0.0
1.0,94,12.5,2.0,5,3,64,1.0,0,0,1.0,0,2,1.0,1.0
1.0,235,13.915,2.0,8,3,110,1.0,1,6,1.0,1,19,1.0,1.0
0.0,281,8.0,2.0,7,3,105,1.0,1,6,1.0,1,0,1261.0,1.0
0.0,279,3.0,2.0,13,3,122,1.0,1,2,1.0,1,154,1705.0,1.0
1.0,77,0.0,2.0,12,3,2,1.0,0,0,0.0,1,0,1.0,1.0
1.0,70,1.5,1.0,5,3,14,0.0,0,0,1.0,1,37,68.0,0.0
1.0,114,1.125,2.0,13,6,30,1.0,0,0,0.0,1,0,5299.0,1.0
1.0,337,0.54,2.0,7,3,15,1.0,1,3,1.0,1,62,1.0,0.0
1.0,83,0.415,1.0,7,3,1,0.0,1,2,0.0,1,39,7.0,0.0
0.0,49,10.25,2.0,10,3,18,1.0,1,2,1.0,1,13,1.0,1.0
0.0,89,1.75,1.0,7,3,4,0.0,0,0,0.0,1,42,1.0,0.0
1.0,7,0.04,2.0,7,3,1,0.0,0,0,0.0,1,0,1.0,1.0
0.0,140,2.0,1.0,9,6,46,0.0,0,0,0.0,1,90,18.0,0.0
0.0,307,15.0,2.0,7,3,92,1.0,1,14,0.0,1,0,2201.0,1.0
1.0,172,3.5,2.0,3,3,13,0.0,0,0,1.0,1,83,1.0,0.0
1.0,52,4.125,1.0,2,6,1,0.0,0,0,0.0,1,44,101.0,0.0
1.0,128,0.125,1.0,3,3,2,0.0,0,0,0.0,1,75,2101.0,0.0
1.0,33,1.75,1.0,7,3,53,0.0,0,0,1.0,1,35,7.0,0.0
1.0,122,3.25,1.0,10,6,86,0.0,1,2,1.0,1,118,2.0,0.0
1.0,125,1.5,2.0,8,3,46,1.0,1,11,1.0,1,139,36.0,1.0
1.0,238,6.5,2.0,5,4,72,1.0,1,1,0.0,1,0,501.0,1.0
0.0,215,2.5,2.0,2,6,5,0.0,0,0,0.0,1,91,247.0,0.0
1.0,256,4.915,1.0,8,3,68,1.0,0,0,1.0,1,15,1443.0,1.0
1.0,320,12.25,2.0,6,3,30,1.0,1,4,1.0,1,68,1.0,1.0
1.0,261,5.0,2.0,2,4,51,0.0,0,0,1.0,1,45,1.0,0.0
0.0,83,0.71,2.0,8,3,6,0.0,1,1,1.0,1,85,5.0,0.0
1.0,27,2.0,2.0,2,3,36,1.0,1,2,0.0,1,37,301.0,1.0
0.0,242,3.5,2.0,2,4,13,0.0,0,0,0.0,0,169,1.0,0.0
0.0,89,0.5,2.0,10,6,36,1.0,0,0,0.0,1,97,825.0,1.0
1.0,252,9.79,2.0,13,6,106,1.0,1,8,0.0,1,0,1.0,1.0
0.0,37,0.165,2.0,10,3,1,0.0,0,0,1.0,1,123,1.0,0.0
1.0,57,11.5,2.0,2,3,13,1.0,0,0,1.0,1,31,69.0,0.0
1.0,159,2.835,2.0,0,0,0,0.0,1,5,0.0,1,60,147.0,0.0
1.0,119,1.585,2.0,12,6,43,1.0,1,12,1.0,1,159,714.0,1.0
1.0,289,26.335,1.0,0,0,0,1.0,0,0,1.0,1,0,1.0,0.0
0.0,151,1.375,2.0,8,6,1,0.0,1,3,0.0,1,0,34.0,0.0
1.0,139,1.25,2.0,8,3,42,0.0,0,0,0.0,1,68,1.0,0.0
1.0,129,5.04,1.0,7,4,36,1.0,1,8,1.0,1,46,8.0,1.0
1.0,239,21.5,2.0,9,7,130,1.0,1,11,0.0,1,0,1201.0,1.0
1.0,210,4.25,2.0,10,3,72,0.0,0,0,0.0,1,143,51.0,0.0
1.0,101,0.335,2.0,3,6,72,0.0,0,0,1.0,1,110,1.0,0.0
1.0,144,3.5,2.0,7,3,4,0.0,0,0,0.0,1,75,1.0,0.0
1.0,76,0.0,2.0,3,3,25,0.0,1,11,0.0,0,0,1.0,0.0
0.0,170,1.46,2.0,8,3,27,1.0,1,16,0.0,1,37,2080.0,1.0
1.0,96,3.5,2.0,12,3,16,1.0,1,7,0.0,1,0,7060.0,1.0
0.0,199,3.75,2.0,0,0,0,0.0,1,6,0.0,1,0,201.0,0.0
0.0,28,10.0,2.0,1,3,10,0.0,0,0,0.0,1,23,43.0,0.0
1.0,237,5.0,2.0,2,4,5,0.0,0,0,0.0,1,157,1.0,0.0
1.0,80,1.0,2.0,7,3,13,0.0,0,0,1.0,0,97,1.0,0.0
1.0,218,0.0,2.0,7,3,0,0.0,0,0,0.0,2,64,1.0,1.0
0.0,91,13.665,2.0,10,6,36,0.0,0,0,0.0,1,97,2.0,0.0
0.0,275,13.0,2.0,2,4,88,1.0,1,9,1.0,1,0,1.0,1.0
1.0,189,5.25,2.0,8,3,2,0.0,0,0,1.0,1,99,7.0,1.0
1.0,65,0.585,1.0,0,0,0,0.0,0,0,0.0,1,31,1.0,0.0
1.0,124,1.29,2.0,3,6,6,0.0,0,0,1.0,0,44,1.0,0.0
1.0,257,4.085,2.0,5,3,1,0.0,0,0,0.0,1,33,101.0,0.0
1.0,134,14.5,2.0,1,3,3,0.0,0,0,0.0,1,0,287.0,0.0
1.0,207,5.0,2.0,7,4,57,1.0,1,6,0.0,1,0,368.0,1.0
0.0,23,10.0,1.0,10,6,4,0.0,0,0,0.0,1,110,1.0,0.0
1.0,54,1.5,2.0,8,3,36,0.0,0,0,0.0,1,48,9.0,1.0
0.0,227,1.665,2.0,5,3,6,0.0,0,0,0.0,1,0,391.0,0.0
1.0,166,0.04,1.0,6,3,1,0.0,0,0,0.0,1,0,1.0,0.0
0.0,14,9.5,2.0,5,3,42,0.0,1,10,1.0,1,0,11.0,0.0
0.0,46,0.835,2.0,10,3,38,1.0,1,1,0.0,1,0,1.0,1.0
0.0,229,4.0,2.0,7,3,64,0.0,0,0,0.0,1,148,1.0,0.0
1.0,225,0.21,2.0,3,3,2,1.0,0,0,1.0,1,97,1.0,1.0
1.0,123,13.75,2.0,8,3,94,1.0,0,0,1.0,1,149,501.0,1.0
1.0,124,0.585,1.0,12,3,6,1.0,1,2,0.0,1,91,501.0,1.0
1.0,33,0.0,1.0,0,0,0,0.0,1,4,0.0,1,12,2.0,0.0
0.0,94,0.875,2.0,13,6,26,1.0,0,0,1.0,1,52,5861.0,1.0
1.0,123,2.0,2.0,13,6,25,1.0,1,4,0.0,1,44,7545.0,1.0
1.0,66,9.0,2.0,5,3,2,0.0,0,0,0.0,1,0,1.0,0.0
0.0,294,13.585,2.0,3,6,109,1.0,0,0,1.0,1,0,1.0,1.0
1.0,172,2.5,2.0,7,3,30,0.0,0,0,1.0,1,97,1.0,0.0
1.0,221,10.125,1.0,3,3,3,0.0,0,0,0.0,1,52,1.0,0.0
1.0,278,6.5,2.0,7,3,25,0.0,0,0,1.0,1,0,229.0,0.0
1.0,125,4.0,1.0,2,6,94,1.0,1,2,1.0,1,21,1.0,0.0
0.0,203,0.915,2.0,5,3,19,1.0,1,4,0.0,1,0,1584.0,1.0
1.0,183,0.25,2.0,2,4,75,0.0,0,0,1.0,0,135,1.0,0.0
1.0,188,0.08,1.0,6,4,1,1.0,1,1,1.0,1,97,2001.0,1.0
0.0,49,10.335,2.0,12,6,8,1.0,1,1,1.0,1,23,51.0,1.0
1.0,180,1.0,2.0,13,3,19,1.0,1,7,1.0,1,110,4072.0,1.0
1.0,72,11.0,2.0,10,3,57,1.0,1,7,1.0,1,31,810.0,1.0
1.0,289,8.5,2.0,7,6,118,1.0,1,9,0.0,1,63,1656.0,1.0
1.0,241,5.0,2.0,7,3,84,1.0,1,7,0.0,1,0,3066.0,1.0
1.0,48,0.835,1.0,7,3,46,0.0,0,0,1.0,0,85,1.0,0.0
0.0,226,1.5,2.0,0,0,0,0.0,0,0,0.0,1,22,1.0,0.0
0.0,322,19.5,2.0,7,3,92,1.0,1,7,0.0,1,0,3001.0,1.0
0.0,159,3.75,2.0,12,6,16,1.0,1,9,1.0,1,63,1.0,1.0
1.0,63,0.79,2.0,8,3,7,0.0,1,1,0.0,1,135,284.0,0.0
0.0,326,10.0,2.0,10,3,75,1.0,1,14,0.0,1,0,1603.0,1.0
1.0,136,0.375,2.0,7,3,7,0.0,0,0,0.0,1,76,141.0,0.0
0.0,272,4.0,2.0,4,2,0,1.0,0,0,0.0,1,31,961.0,1.0
1.0,51,3.0,1.0,1,3,27,1.0,1,8,1.0,1,52,2.0,1.0
0.0,91,12.5,2.0,5,3,36,1.0,1,12,1.0,1,37,568.0,1.0
0.0,50,0.5,1.0,9,1,25,0.0,0,0,0.0,1,91,1.0,0.0
1.0,90,13.5,1.0,0,0,0,0.0,0,0,0.0,1,64,1.0,0.0
0.0,111,2.71,1.0,7,3,2,0.0,0,0,0.0,0,23,1.0,0.0
1.0,243,0.835,2.0,0,0,0,1.0,0,0,0.0,1,41,2.0,0.0
0.0,222,4.415,2.0,7,3,3,0.0,0,0,0.0,1,52,1.0,0.0
1.0,38,0.585,2.0,0,0,0,0.0,1,3,0.0,1,113,770.0,0.0
1.0,231,9.5,2.0,6,3,98,1.0,1,14,0.0,1,85,4608.0,1.0
1.0,103,0.5,2.0,7,3,35,1.0,1,5,1.0,1,105,1.0,1.0
0.0,273,3.0,2.0,7,3,54,1.0,1,8,1.0,1,128,4160.0,1.0
1.0,39,10.0,1.0,3,6,22,1.0,0,0,1.0,1,44,1.0,0.0
0.0,66,1.25,1.0,0,0,70,0.0,0,0,0.0,1,97,1.0,0.0
1.0,31,3.54,1.0,0,0,0,0.0,0,0,1.0,1,62,2.0,0.0
1.0,338,20.0,2.0,13,6,128,1.0,1,9,1.0,1,0,1001.0,1.0
0.0,10,1.25,2.0,10,3,6,0.0,1,1,0.0,1,33,99.0,0.0
0.0,342,15.0,2.0,9,7,0,1.0,1,14,0.0,1,0,3377.0,1.0
1.0,348,22.29,2.0,9,7,119,1.0,1,1,1.0,1,0,110.0,1.0
0.0,4,2.875,2.0,10,3,2,0.0,0,0,0.0,1,37,1.0,0.0
1.0,196,4.0,2.0,1,4,118,1.0,0,0,1.0,1,64,1.0,0.0
0.0,279,8.0,2.0,9,4,98,1.0,1,6,0.0,1,122,51101.0,1.0
1.0,77,0.0,2.0,7,3,0,0.0,0,0,0.0,2,64,1.0,1.0
1.0,269,1.5,2.0,7,3,57,1.0,0,0,1.0,1,44,1.0,0.0
1.0,1,7.0,2.0,9,3,25,0.0,0,0,0.0,1,160,1.0,0.0
1.0,31,0.415,1.0,7,3,4,0.0,1,1,0.0,1,68,2.0,0.0
1.0,306,6.5,2.0,3,3,97,1.0,1,15,0.0,1,0,11203.0,1.0
1.0,34,0.0,1.0,6,4,0,0.0,0,0,1.0,0,151,2.0,1.0
1.0,21,0.165,2.0,10,5,5,0.0,0,0,0.0,1,68,41.0,1.0
1.0,217,0.835,2.0,9,3,1,0.0,0,0,0.0,1,37,6.0,0.0
1.0,71,1.585,1.0,8,3,66,1.0,1,6,0.0,1,23,1.0,1.0
1.0,282,4.165,2.0,13,4,2,0.0,0,0,1.0,1,155,1.0,0.0
1.0,188,2.5,2.0,7,3,25,0.0,0,0,0.0,1,145,17.0,0.0
0.0,179,1.625,2.0,1,3,14,0.0,0,0,1.0,1,0,1.0,0.0
1.0,260,0.375,1.0,7,3,9,1.0,1,8,1.0,1,101,163.0,1.0
