Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Outcome
2.59413,0.468803,20.6916,0.322648,0.00968188,0.374393,0.803479,0.896592,3.59665,0.249282,4.18624,135.885,0.928671,0.140918,2.58663,1689.07,1.19795,19.3561,0.39834,0.658684,1.56127,0.320885,108.856,5.16994,0.491493,0.868283,29.6141,1.22299,0.190005,-0.654163,4.97666,0.908007,0.385076,377.412,0.136108,0.31065,2.95264,-4.55567,0.934167,0.0497517,101.174,-31.373,0.442259,5.86453,0.0,0.0905186,0.176909,0.457585,0.0717692,0.245996,1
3.86388,0.645781,18.1375,0.233529,0.0307329,0.361239,1.06974,0.878714,3.59243,0.200793,4.65578,331.718,0.882784,0.368855,2.24638,1388.26,0.83923,6.6951,0.277778,0.944626,1.66464,0.256501,102.493,5.33218,0.474294,-0.336652,31.5767,1.31717,0.141945,0.0938864,5.05478,1.39439,0.325034,215.837,0.0820476,0.29753,0.777241,-4.76871,1.43821,0.0687137,186.516,45.9597,-0.478507,6.11126,0.00118203,0.0918005,-0.465572,0.935523,0.333613,0.230621,1
3.38584,1.19714,36.0807,0.200866,0.017341,0.260841,1.10895,0.884405,3.43159,0.177167,4.50807,159.396,0.41225,0.434002,2.38485,992.098,0.514175,16.003,0.256262,0.318984,-0.727361,0.312139,69.8362,3.44976,0.497076,-0.314786,59.2516,1.18765,0.192565,-0.511144,5.27196,1.00286,1.69087,417.43,0.0686284,0.220612,1.39097,-2.02213,1.84379,0.085132,129.931,-11.5608,-0.297008,8.27204,0.00385356,0.141721,-0.210559,1.01345,0.255512,0.180901,1
4.28524,0.510155,674.201,0.281923,0.00917431,0.0,0.998822,0.82339,3.16382,0.171678,4.08041,-1.8656,0.833067,0.181294,2.49837,1289.16,0.630307,12.9374,0.266055,1.31358,0.698101,0.306193,148.034,4.12461,0.494778,0.331151,17.8265,1.70034,0.147487,0.313964,7.91668,1.58441,0.557134,352.699,0.0792459,0.338915,-0.331218,-3.52184,1.24439,0.10555,163.978,-18.4586,0.453886,2.48112,0.0,0.180938,0.407968,4.34127,0.473081,0.25899,1
5.93662,0.832993,59.8796,0.232853,0.025066,0.233556,1.37004,0.787424,3.66546,0.174862,4.5918,183.668,0.398421,0.353034,2.04136,949.231,0.389585,13.9175,0.281003,0.282402,-0.0396719,0.233509,106.867,2.94245,0.46426,-0.0331021,139.47,1.68793,0.117804,0.0219271,7.8099,1.31742,0.677348,317.556,0.041526,0.249403,-0.36056,-3.18766,1.80867,0.105852,229.555,42.96,-0.975752,2.66109,0.0,0.170836,-0.814403,4.67949,1.92499,0.253893,1
4.41251,2.15721,66.7853,0.335389,0.0042735,0.13369,0.696868,0.753386,3.45575,0.150908,4.43856,283.446,-0.463347,0.130846,1.55108,507.203,0.217193,26.7389,0.279915,1.71122,1.84923,0.32265,47.5931,3.94517,0.318723,1.03808,1.92807,1.62665,0.173143,0.107052,8.01805,1.1068,1.38239,247.024,0.0644143,0.366645,-0.253309,-2.77602,1.18604,0.107764,153.943,-18.5469,0.63831,5.97304,0.0,0.156063,0.458479,3.50028,3.61629,0.189857,1
3.41292,0.834852,45.5963,0.253942,0.00947867,0.290691,1.27387,0.891223,3.42853,0.227561,4.44664,206.002,0.836173,0.165293,2.50378,1236.87,0.764262,10.1579,0.312796,1.20417,0.734373,0.278041,78.5687,5.25039,0.46017,0.493311,36.712,1.28721,0.178021,-0.155264,4.46572,1.09445,0.888741,350.018,0.107955,0.304557,0.599385,-3.36935,1.27407,0.0572345,137.419,-11.3654,0.0600453,4.85395,0.0,0.102631,-0.0369518,0.862529,0.671407,0.254095,1
2.93345,0.243213,9.73308,0.243312,0.0185357,0.516637,1.18859,0.904027,3.38835,0.240489,4.21186,347.526,0.965842,0.233656,3.41256,3108.84,2.31074,17.251,0.352178,0.687643,0.729926,0.301205,269.107,5.14453,0.483675,-0.223762,32.6188,1.05909,0.169283,-0.131039,5.25768,1.28281,0.516373,216.726,0.135178,0.36011,2.71024,-4.43169,1.46042,0.065757,148.262,-25.0214,0.0154073,4.66803,0.00185357,0.108072,-0.149434,0.451253,-0.182719,0.229547,1
4.10757,0.6826,83.6925,0.263911,0.00518135,0.168942,1.40315,0.889605,3.26032,0.187648,4.16345,145.949,0.403241,0.146151,2.64477,1428.18,0.777926,14.7445,0.28886,0.969137,0.632569,0.345855,134.11,3.53646,0.493146,0.568746,48.3208,1.56085,0.162458,0.0420106,7.20983,1.21241,1.41871,368.012,0.103456,0.326346,-0.354726,-2.66388,1.41003,0.0946691,151.28,-11.012,0.566295,4.0686,0.0,0.181448,0.265645,1.50024,0.457965,0.207168,1
3.82959,0.50714,29.4365,0.240391,0.0104651,0.284973,1.30507,0.898304,3.05597,0.197686,4.15285,50.6939,0.945125,0.11997,3.40774,1601.64,0.882138,25.8389,0.237209,1.31274,0.119409,0.344186,164.247,3.43689,0.473342,0.131927,5.46809,1.54903,0.116169,0.547763,6.85066,1.45731,0.502574,421.007,0.0798491,0.278089,0.0462455,-3.24485,1.29518,0.0880026,163.69,16.6402,0.567033,1.72581,0.0,0.195321,0.106837,2.03023,0.188336,0.296247,1
